transaction_id,account_id,counterparty_id,jurisdiction,transaction_type,amount,date,flagged
00e1d621-9643-4f81-aa49-14c440623625,Account_73,Account_18,Syria,Cash Deposit,29095.72,2025-07-29 14:44:56.928251,False
809a7ab3-548a-4757-90d0-bd25cb96fb46,Account_89,Account_37,France,Cash Deposit,34413.42,2026-05-11 14:44:56.928281,False
101544f2-f2ab-4de9-8cb9-addc1986ac5b,Account_55,Account_32,China,Wire Transfer,30830.97,2026-03-07 14:44:56.928295,False
e1f0cf7f-8ce5-4b94-bc9d-a9e40ad6e528,Account_87,Account_64,Cuba,Cash Deposit,33900.13,2026-02-28 14:44:56.928304,False
726d7d5f-d4c3-48e9-8b66-d38915ff98b5,Account_67,Account_58,Russia,Cash Deposit,18512.0,2025-08-12 14:44:56.928313,False
a121ebe0-5931-47fd-88ff-6f2f4d8a5265,Account_44,Account_17,Germany,Cash Deposit,48113.52,2025-11-10 14:44:56.928320,False
d2a4931e-1bd5-40f1-9a41-5016c9064a14,Account_64,Account_92,India,Online Payment,36047.66,2025-10-09 14:44:56.928327,False
0ccfa03a-a6ae-4b09-8b03-05a6ccb5fceb,Account_76,Account_26,India,Wire Transfer,32922.75,2026-03-08 14:44:56.928335,False
8c1e25a5-c750-4492-85d9-15e09d82d131,Account_12,Account_24,UK,Wire Transfer,40709.01,2026-06-03 14:44:56.928342,False
074118f0-9933-4844-bf80-f95fe15d9c27,Account_16,Account_67,India,Online Payment,38441.56,2026-06-16 14:44:56.928349,False
1b51964f-05dc-48e1-8393-d4af6bfd31f3,Account_95,Account_14,China,Online Payment,32783.25,2026-05-25 14:44:56.928355,False
c3f2d246-94cf-43fe-829f-c0175f690451,Account_61,Account_98,USA,Online Payment,188.3,2025-08-21 14:44:56.928363,False
58a47162-2801-415a-bd8f-477161129c14,Account_25,Account_16,Germany,ACH,27868.25,2026-01-30 14:44:56.928369,False
0cf6ea3e-1e96-4da9-ab10-799a4eff7a3e,Account_10,Account_92,Germany,ACH,10447.1,2025-12-16 14:44:56.928376,False
3b2c0c58-7b59-4785-af5d-66fb1324356d,Account_13,Account_70,North Korea,ACH,39611.41,2026-03-24 14:44:56.928382,False
f1660b78-1a16-4f70-b5f3-630b0c36bf41,Account_82,Account_71,Myanmar,Online Payment,30652.76,2026-03-18 14:44:56.928389,False
86d3ee40-1e16-46db-93d3-4c9f380f8dfc,Account_82,Account_49,France,Online Payment,4666.91,2026-01-14 14:44:56.928395,False
78ca65cf-db97-4477-9943-1183caa428d4,Account_11,Account_31,USA,Cash Deposit,16265.46,2025-12-07 14:44:56.928402,False
75f1d440-8e14-4a26-ace4-9bc7d2e1f5a9,Account_18,Account_81,Myanmar,Online Payment,18489.33,2025-07-23 14:44:56.928408,False
00e3f7ac-6264-40e3-b0e5-d711d467c90b,Account_31,Account_53,USA,ACH,46389.74,2026-04-06 14:44:56.928415,False
dead348b-177e-4d92-b26a-551a75e97aee,Account_35,Account_66,UK,Wire Transfer,25959.72,2025-12-05 14:44:56.928422,False
65668c99-4034-4789-9ab2-5e234c1fc851,Account_64,Account_31,China,ACH,14071.05,2025-08-22 14:44:56.928428,False
24d6a4b6-7407-40ab-87c2-610f28605211,Account_98,Account_26,India,Online Payment,39782.11,2026-06-18 14:44:56.928435,False
cf4fd161-111f-4985-89b7-b6dc545bdd9c,Account_100,Account_90,China,Wire Transfer,14253.7,2025-09-12 14:44:56.928442,False
68820f72-ab38-460d-b682-6af1a10a6a24,Account_45,Account_40,Cuba,Online Payment,28202.86,2026-03-20 14:44:56.928448,False
22e3ffd1-638e-4b81-896f-38d2a325b375,Account_63,Account_21,India,ACH,11342.54,2025-12-03 14:44:56.928455,False
0648b0d5-07be-49a0-8b75-8f54089ac0f4,Account_95,Account_68,North Korea,ACH,20955.01,2026-06-10 14:44:56.928462,False
9080025d-7e4b-4a1f-9951-d405da3c64a0,Account_30,Account_12,Syria,Cash Deposit,15425.38,2025-11-18 14:44:56.928469,False
9b60b766-f1ce-45ca-a5a0-9808381b77cf,Account_57,Account_49,UK,Wire Transfer,35282.75,2026-06-07 14:44:56.928475,False
4087a1da-360b-47b8-be44-1efa42142c14,Account_43,Account_53,Germany,ACH,43381.51,2025-10-31 14:44:56.928481,False
